"id","continent","country","city"
"2002011000","アジア","パキスタン","パキスタン"
"2002012000","アジア","フィリピン","フィリピン"
"2002013000","アジア","ブータン","ブータン"
"2002014000","アジア","ブルネイ","ブルネイ"
"2002015000","アジア","ベトナム","ベトナム"
"2002016000","アジア","香港","香港"
"2002017000","アジア","マカオ","マカオ"
"2002018000","アジア","マレーシア","マレーシア"
"2002019000","アジア","ミャンマー","ミャンマー"
"2002020000","アジア","モンゴル","モンゴル"
"2002021000","アジア","ラオス","ラオス"
"2002023000","アジア","その他アジア","その他アジア"
"2003001000","ヨーロッパ","アイスランド","アイスランド"
"2003002000","ヨーロッパ","アイルランド","アイルランド"
"2003003000","ヨーロッパ","イギリス","イギリス"
"2003003001","ヨーロッパ","イギリス","ロンドン"
"2003004000","ヨーロッパ","イタリア","イタリア"
"2003004001","ヨーロッパ","イタリア","ローマ"
"2003004002","ヨーロッパ","イタリア","ミラノ"
"2003004003","ヨーロッパ","イタリア","フィレンツェ"
"2003004004","ヨーロッパ","イタリア","ヴェネチア"
"2003005000","ヨーロッパ","エストニア","エストニア"
"2003006000","ヨーロッパ","オーストリア","オーストリア"
"2003007000","ヨーロッパ","オランダ","オランダ"
"2003008000","ヨーロッパ","ギリシア","ギリシア"
"2003009000","ヨーロッパ","キプロス","キプロス"
"2003010000","ヨーロッパ","クロアチア","クロアチア"
"2003011000","ヨーロッパ","スイス","スイス"
"2003012000","ヨーロッパ","スウェーデン","スウェーデン"
"2003013000","ヨーロッパ","スペイン","スペイン"
"2003013001","ヨーロッパ","スペイン","マドリード"
"2003013002","ヨーロッパ","スペイン","バルセロナ"
"2003014000","ヨーロッパ","スロバキア","スロバキア"
"2003015000","ヨーロッパ","スロベニア","スロベニア"
"2003016000","ヨーロッパ","チェコ","チェコ"
"2003017000","ヨーロッパ","デンマーク","デンマーク"
"2003018000","ヨーロッパ","ドイツ","ドイツ"
"2003019000","ヨーロッパ","ノルウェー","ノルウェー"
"2003020000","ヨーロッパ","ハンガリー","ハンガリー"
"2003021000","ヨーロッパ","フィンランド","フィンランド"
"2003022000","ヨーロッパ","フランス","フランス"
"2003022001","ヨーロッパ","フランス","パリ"
"2003022002","ヨーロッパ","フランス","ニース"
"2003022003","ヨーロッパ","フランス","ニューカレドニア"
"2003023000","ヨーロッパ","ブルガリア","ブルガリア"
"2003024000","ヨーロッパ","ベルギー","ベルギー"
"2003025000","ヨーロッパ","ポーランド","ポーランド"
"2003026000","ヨーロッパ","ボスニア・ヘルツェゴビナ","ボスニア・ヘルツェゴビナ"
"2003028000","ヨーロッパ","ポルトガル","ポルトガル"
"2003029000","ヨーロッパ","マケドニア","マケドニア"
"2003030000","ヨーロッパ","セルビア","セルビア"
"2003031000","ヨーロッパ","モンテネグロ","モンテネグロ"
"2003032000","ヨーロッパ","ラトヴィア","ラトヴィア"
"2003033000","ヨーロッパ","リトアニア","リトアニア"
"2003034000","ヨーロッパ","ルーマニア","ルーマニア"
"2003035000","ヨーロッパ","ルクセンブルグ","ルクセンブルグ"
"2003036000","ヨーロッパ","ロシア","ロシア"
"2003041000","ヨーロッパ","ウクライナ","ウクライナ"
"2003042000","ヨーロッパ","その他ヨーロッパ","その他ヨーロッパ"
"2004001000","オセアニア","オーストラリア","オーストラリア"
"2004001001","オセアニア","オーストラリア","シドニー"
"2004001002","オセアニア","オーストラリア","ケアンズ"
"2004001003","オセアニア","オーストラリア","ゴールドコースト"
"2004002000","オセアニア","ニュージーランド","ニュージーランド"
"2005001000","中南米","アルゼンチン","アルゼンチン"
"2005002000","中南米","アルバ","アルバ"
"2005004000","中南米","ヴァージン諸島","ヴァージン諸島"
"2005005000","中南米","ウルグアイ","ウルグアイ"
"2005006000","中南米","エクアドル","エクアドル"
"2005007000","中南米","エルサルバドル","エルサルバドル"
"2005008000","中南米","ガイアナ","ガイアナ"
"2005009000","中南米","ギアナ","ギアナ"
"2005010000","中南米","キューバ","キューバ"
"2005011000","中南米","キュラソー","キュラソー"
"2005012000","中南米","グアテマラ","グアテマラ"
"2005013000","中南米","ケイマン諸島","ケイマン諸島"
"2005014000","中南米","コスタリカ","コスタリカ"
"2005015000","中南米","コロンビア","コロンビア"
"2005016000","中南米","ジャマイカ","ジャマイカ"
"2005017000","中南米","サン・マンタン","サン・マンタン"
"2005018000","中南米","スリナム","スリナム"
"2005019000","中南米","セント・マーチン","セント・マーチン"
"2005020000","中南米","チリ","チリ"
"2005021000","中南米","ドミニカ共和国","ドミニカ共和国"
"2005022000","中南米","トリニダード＆トバゴ","トリニダード＆トバゴ"
"2005023000","中南米","ニカラグア","ニカラグア"
"2005024000","中南米","パナマ","パナマ"
"2005025000","中南米","バハマ","バハマ"
"2005026000","中南米","バミューダ","バミューダ"
"2005027000","中南米","パラグアイ","パラグアイ"
"2005028000","中南米","バルバドス","バルバドス"
"2005029000","中南米","プエルトリコ","プエルトリコ"
"2005030000","中南米","ブラジル","ブラジル"
"2005031000","中南米","ベネズエラ","ベネズエラ"
"2005032000","中南米","ベリーズ","ベリーズ"
"2005033000","中南米","ペルー","ペルー"
"2005034000","中南米","ボリビア","ボリビア"
"2005035000","中南米","ホンジュラス","ホンジュラス"
"2005036000","中南米","マルティニーク","マルティニーク"
"2005037000","中南米","メキシコ","メキシコ"
"2005038000","中南米","その他中南米","その他中南米"
"2006001000","中近東/アフリカ","アラブ首長国連邦","アラブ首長国連邦"
"2006002000","中近東/アフリカ","イエメン","イエメン"
"2006003000","中近東/アフリカ","イスラエル","イスラエル"
"2006004000","中近東/アフリカ","イラン","イラン"
"2006005000","中近東/アフリカ","エジプト","エジプト"
"2006006000","中近東/アフリカ","オマーン","オマーン"
"2006007000","中近東/アフリカ","カタール","カタール"
"2006008000","中近東/アフリカ","クウェート","クウェート"
"2006009000","中近東/アフリカ","サウジアラビア","サウジアラビア"
"2006010000","中近東/アフリカ","シリア","シリア"
"2006011000","中近東/アフリカ","チュニジア","チュニジア"
"2006012000","中近東/アフリカ","トルコ","トルコ"
"2006013000","中近東/アフリカ","バーレーン","バーレーン"
"2006014000","中近東/アフリカ","ボツワナ","ボツワナ"
"2006015000","中近東/アフリカ","南アフリカ","南アフリカ"
"2006016000","中近東/アフリカ","モロッコ","モロッコ"
"2006017000","中近東/アフリカ","ヨルダン","ヨルダン"
"2006018000","中近東/アフリカ","レバノン","レバノン"
"2006019000","中近東/アフリカ","その他中近東/アフリカ","その他中近東/アフリカ"
